county_qualified_name	homes_sold	new_listings	inventory	median_dom	months_of_supply	state_code	county_name	months_averaged
Kodiak Island Borough, AK	4.15	5.46	11.08	54.15	3.38	AK	Kodiak Island Borough	12
Kodiak Island Borough, AK	3.94	5.27	10.31	54.88	3.46	AK	Kodiak Island Borough	18
Matanuska-Susitna Borough, AK	138.5	196.5	273.0	29.5	2.0	AK	Matanuska-Susitna Borough	1
Matanuska-Susitna Borough, AK	113.25	166.5	271.75	36.75	2.55	AK	Matanuska-Susitna Borough	3
Matanuska-Susitna Borough, AK	130.0	138.86	304.57	35.43	2.44	AK	Matanuska-Susitna Borough	6
Matanuska-Susitna Borough, AK	170.31	197.54	367.92	26.62	2.26	AK	Matanuska-Susitna Borough	12
Matanuska-Susitna Borough, AK	165.88	198.69	341.62	25.38	2.13	AK	Matanuska-Susitna Borough	18
Southeast Fairbanks Census Area, AK	5.5	4.5	25.0	133.5	4.95	AK	Southeast Fairbanks Census Area	1
Southeast Fairbanks Census Area, AK	3.5	5.0	26.25	124.75	13.1	AK	Southeast Fairbanks Census Area	3
Southeast Fairbanks Census Area, AK	2.71	4.67	24.43	137.71	13.91	AK	Southeast Fairbanks Census Area	6
Southeast Fairbanks Census Area, AK	3.25	4.82	22.42	134.5	11.69	AK	Southeast Fairbanks Census Area	12
Southeast Fairbanks Census Area, AK	3.33	4.77	21.13	133.8	10.67	AK	Southeast Fairbanks Census Area	18
Yukon-Koyukuk Census Area, AK	3.0	2.0	3.0	99.0	1.0	AK	Yukon-Koyukuk Census Area	1
Yukon-Koyukuk Census Area, AK	2.0	2.0	3.0	61.0	2.0	AK	Yukon-Koyukuk Census Area	3
Yukon-Koyukuk Census Area, AK	2.0	2.0	3.0	61.0	2.0	AK	Yukon-Koyukuk Census Area	6
Yukon-Koyukuk Census Area, AK	1.4	2.0	2.2	193.8	1.8	AK	Yukon-Koyukuk Census Area	12
Yukon-Koyukuk Census Area, AK	1.4	2.0	2.2	193.8	1.8	AK	Yukon-Koyukuk Census Area	18
Autauga County, AL	51.0	65.0	127.0	49.0	2.5	AL	Autauga County	1
Autauga County, AL	44.5	63.5	123.25	47.0	2.82	AL	Autauga County	3
Autauga County, AL	53.86	57.43	129.43	49.86	2.5	AL	Autauga County	6
Autauga County, AL	70.85	72.77	160.69	48.92	2.36	AL	Autauga County	12
Autauga County, AL	72.12	77.19	166.81	48.31	2.39	AL	Autauga County	18
Baldwin County, AL	587.0	791.5	1700.5	47.5	2.9	AL	Baldwin County	1
Baldwin County, AL	525.5	705.75	1691.5	50.75	3.28	AL	Baldwin County	3
Baldwin County, AL	511.0	634.43	1754.43	46.86	3.47	AL	Baldwin County	6
Baldwin County, AL	617.0	748.31	1676.23	33.31	2.87	AL	Baldwin County	12
Baldwin County, AL	651.0	757.62	1530.38	32.06	2.54	AL	Baldwin County	18
Barbour County, AL	2.5	19.5	58.0	130.0	36.25	AL	Barbour County	1
Barbour County, AL	2.5	16.5	57.25	156.25	36.08	AL	Barbour County	3
Barbour County, AL	2.67	14.33	57.33	111.67	36.02	AL	Barbour County	6
Barbour County, AL	3.5	13.58	50.5	94.67	23.34	AL	Barbour County	12
Barbour County, AL	3.07	11.93	43.13	96.85	21.11	AL	Barbour County	18
Bibb County, AL	8.0	9.5	23.5	93.0	3.2	AL	Bibb County	1
Bibb County, AL	6.25	8.25	23.25	62.5	4.42	AL	Bibb County	3
Bibb County, AL	5.86	7.0	22.14	55.71	5.06	AL	Bibb County	6
Bibb County, AL	6.92	9.15	21.77	49.77	4.06	AL	Bibb County	12
Bibb County, AL	6.94	8.88	19.94	49.56	3.73	AL	Bibb County	18
Blount County, AL	45.5	48.5	95.5	47.0	2.15	AL	Blount County	1
Blount County, AL	38.5	42.0	103.25	54.0	2.85	AL	Blount County	3
Blount County, AL	36.0	40.29	113.57	52.0	3.36	AL	Blount County	6
Blount County, AL	43.0	47.92	121.54	48.31	3.0	AL	Blount County	12
Blount County, AL	44.0	49.38	120.19	49.0	2.89	AL	Blount County	18
Bullock County, AL	1.0	1.0	3.0	20.0	3.0	AL	Bullock County	3
Bullock County, AL	1.25	1.0	4.25	225.75	3.88	AL	Bullock County	6
Bullock County, AL	1.43	1.0	4.57	164.57	3.64	AL	Bullock County	12
Bullock County, AL	1.5	1.0	4.75	147.88	3.56	AL	Bullock County	18
Butler County, AL	4.0	6.5	19.0	47.5	6.65	AL	Butler County	1
Butler County, AL	3.5	5.25	17.5	53.5	6.2	AL	Butler County	3
Butler County, AL	3.43	5.14	17.14	59.0	6.0	AL	Butler County	6
Butler County, AL	4.31	5.92	16.38	61.54	5.49	AL	Butler County	12
Butler County, AL	4.19	5.5	15.62	65.38	5.11	AL	Butler County	18
Calhoun County, AL	94.5	97.5	233.0	57.5	2.5	AL	Calhoun County	1
Calhoun County, AL	88.0	97.25	247.0	58.75	2.88	AL	Calhoun County	3
Calhoun County, AL	87.86	90.43	260.0	57.29	3.01	AL	Calhoun County	6
Calhoun County, AL	104.23	115.15	281.85	50.69	2.78	AL	Calhoun County	12
Calhoun County, AL	103.94	116.19	275.88	49.81	2.71	AL	Calhoun County	18
Chambers County, AL	14.5	25.5	78.0	29.0	5.4	AL	Chambers County	1
Chambers County, AL	15.25	25.75	77.0	29.25	5.1	AL	Chambers County	3
Chambers County, AL	17.14	24.71	73.57	25.57	4.54	AL	Chambers County	6
Chambers County, AL	17.0	26.31	67.23	31.08	4.67	AL	Chambers County	12
Chambers County, AL	15.5	23.5	60.62	37.38	4.47	AL	Chambers County	18
Cherokee County, AL	13.0	22.0	76.5	74.0	5.95	AL	Cherokee County	1
Cherokee County, AL	12.0	20.75	76.0	59.5	7.3	AL	Cherokee County	3
Cherokee County, AL	13.71	19.86	77.86	61.14	6.31	AL	Cherokee County	6
Cherokee County, AL	19.46	23.77	81.31	59.62	4.94	AL	Cherokee County	12
Cherokee County, AL	20.62	25.19	80.69	60.44	4.59	AL	Cherokee County	18
Chilton County, AL	31.0	34.0	88.5	58.0	2.85	AL	Chilton County	1
Chilton County, AL	31.75	33.0	96.0	61.75	3.38	AL	Chilton County	3
Chilton County, AL	27.0	33.14	106.14	60.0	4.43	AL	Chilton County	6
Chilton County, AL	33.15	39.31	105.23	52.46	3.62	AL	Chilton County	12
Chilton County, AL	34.0	40.0	103.75	53.94	3.44	AL	Chilton County	18
Choctaw County, AL	1.0		1.0		1.0	AL	Choctaw County	6
Choctaw County, AL	1.2	1.0	1.6	133.0	1.4	AL	Choctaw County	12
Choctaw County, AL	1.33	1.0	1.83	171.5	1.42	AL	Choctaw County	18
Clarke County, AL	5.0	2.0	9.0	54.0	1.8	AL	Clarke County	1
Clarke County, AL	3.67	3.67	12.33	88.33	3.7	AL	Clarke County	3
Clarke County, AL	4.2	3.6	11.6	97.4	3.12	AL	Clarke County	6
Clarke County, AL	4.27	3.82	12.18	77.73	3.27	AL	Clarke County	12
Clarke County, AL	4.36	3.93	12.0	72.5	3.14	AL	Clarke County	18
Clay County, AL	6.5	7.0	21.0	154.5	3.25	AL	Clay County	1
Clay County, AL	5.0	6.25	21.0	133.75	4.78	AL	Clay County	3
Clay County, AL	4.86	5.71	21.57	101.43	5.07	AL	Clay County	6
Clay County, AL	5.15	6.46	20.77	76.92	4.61	AL	Clay County	12
Clay County, AL	4.69	6.12	19.81	124.75	5.47	AL	Clay County	18
Cleburne County, AL	3.0	6.0	22.0	151.0	8.25	AL	Cleburne County	1
Cleburne County, AL	4.75	6.25	20.25	122.5	5.7	AL	Cleburne County	3
Cleburne County, AL	6.29	7.33	24.29	120.57	5.0	AL	Cleburne County	6
Cleburne County, AL	7.77	9.42	28.92	90.31	4.68	AL	Cleburne County	12
Cleburne County, AL	8.31	10.07	28.19	82.62	4.28	AL	Cleburne County	18
Coffee County, AL	54.5	84.5	168.5	35.0	3.1	AL	Coffee County	1
Coffee County, AL	47.5	65.75	150.0	40.25	3.2	AL	Coffee County	3
Coffee County, AL	53.43	60.71	151.57	45.71	2.9	AL	Coffee County	6
Coffee County, AL	67.92	76.69	163.92	44.31	2.54	AL	Coffee County	12
Coffee County, AL	70.62	77.94	165.31	45.88	2.48	AL	Coffee County	18
Colbert County, AL	45.0	63.5	127.0	28.5	2.8	AL	Colbert County	1
Colbert County, AL	43.75	57.25	125.0	34.75	2.92	AL	Colbert County	3
Colbert County, AL	47.29	56.0	136.71	32.71	2.94	AL	Colbert County	6
Colbert County, AL	39.23	63.38	134.54	28.38	10.33	AL	Colbert County	12
Colbert County, AL	34.27	57.87	124.4	34.93	12.85	AL	Colbert County	18
Conecuh County, AL	2.0	4.5	12.0	49.5	6.0	AL	Conecuh County	1
Conecuh County, AL	1.67	5.33	12.67	70.67	8.67	AL	Conecuh County	3
Conecuh County, AL	1.83	4.2	13.17	109.0	8.22	AL	Conecuh County	6
Conecuh County, AL	1.82	3.3	11.18	100.0	7.85	AL	Conecuh County	12
Conecuh County, AL	2.0	3.15	10.71	101.79	6.91	AL	Conecuh County	18
Coosa County, AL	3.0	6.0	12.5	334.5	6.9	AL	Coosa County	1
Coosa County, AL	2.25	3.67	13.0	391.5	8.45	AL	Coosa County	3
Coosa County, AL	3.0	4.4	16.14	256.14	7.19	AL	Coosa County	6
Coosa County, AL	3.77	5.45	15.85	164.62	5.88	AL	Coosa County	12
Coosa County, AL	3.88	5.43	16.25	146.12	5.64	AL	Coosa County	18
Covington County, AL	19.5	31.0	108.0	55.0	5.75	AL	Covington County	1
Covington County, AL	19.5	29.0	102.0	69.75	5.38	AL	Covington County	3
Covington County, AL	21.0	27.14	102.86	70.57	5.06	AL	Covington County	6
Covington County, AL	24.92	30.08	98.15	68.77	4.25	AL	Covington County	12
Covington County, AL	25.94	30.25	96.06	70.31	4.0	AL	Covington County	18
Crenshaw County, AL	1.5	2.5	10.0	40.0	7.5	AL	Crenshaw County	1
Crenshaw County, AL	1.33	2.67	9.33	118.67	7.67	AL	Crenshaw County	3
Crenshaw County, AL	1.4	2.5	7.2	92.4	5.9	AL	Crenshaw County	6
Crenshaw County, AL	1.3	1.75	5.3	99.7	4.45	AL	Crenshaw County	12
Crenshaw County, AL	1.25	1.6	4.83	93.33	4.12	AL	Crenshaw County	18
Cullman County, AL	89.0	112.5	344.0	74.5	3.9	AL	Cullman County	1
Cullman County, AL	76.0	103.0	343.0	89.25	4.7	AL	Cullman County	3
Cullman County, AL	82.0	101.14	363.29	79.71	4.54	AL	Cullman County	6
Cullman County, AL	84.08	116.23	365.62	65.92	4.54	AL	Cullman County	12
Cullman County, AL	76.62	113.06	341.31	64.31	4.68	AL	Cullman County	18
Dale County, AL	32.5	30.0	73.0	50.0	2.25	AL	Dale County	1
Dale County, AL	31.25	28.0	73.25	53.75	2.38	AL	Dale County	3
Dale County, AL	35.71	29.86	86.43	51.86	2.46	AL	Dale County	6
Dale County, AL	42.15	42.38	101.23	48.85	2.43	AL	Dale County	12
Dale County, AL	42.88	42.06	98.31	49.69	2.34	AL	Dale County	18
Dallas County, AL	11.5	20.5	77.0	113.5	7.55	AL	Dallas County	1
Dallas County, AL	12.0	18.5	74.5	127.0	6.65	AL	Dallas County	3
Dallas County, AL	12.43	16.43	78.43	122.29	6.77	AL	Dallas County	6
Dallas County, AL	14.38	19.62	88.23	107.54	6.85	AL	Dallas County	12
Dallas County, AL	15.31	20.56	89.25	106.94	6.59	AL	Dallas County	18
DeKalb County, AL	45.5	51.0	131.5	87.0	2.95	AL	DeKalb County	1
DeKalb County, AL	40.0	44.25	135.25	82.0	3.5	AL	DeKalb County	3
DeKalb County, AL	41.57	43.0	147.57	74.43	3.66	AL	DeKalb County	6
DeKalb County, AL	46.0	54.31	150.46	60.38	3.38	AL	DeKalb County	12
DeKalb County, AL	45.25	53.19	143.62	61.0	3.26	AL	DeKalb County	18
Elmore County, AL	82.0	100.0	210.0	41.0	2.6	AL	Elmore County	1
Elmore County, AL	71.0	93.5	207.75	47.75	3.0	AL	Elmore County	3
Elmore County, AL	78.57	84.57	213.14	48.14	2.79	AL	Elmore County	6
Elmore County, AL	99.0	107.85	249.31	46.46	2.61	AL	Elmore County	12
Elmore County, AL	100.38	109.0	251.31	47.75	2.58	AL	Elmore County	18
Escambia County, AL	17.5	21.0	52.5	50.5	3.0	AL	Escambia County	1
Escambia County, AL	17.5	20.25	50.5	42.5	2.88	AL	Escambia County	3
Escambia County, AL	15.71	17.71	55.14	67.86	3.61	AL	Escambia County	6
Escambia County, AL	19.08	20.0	65.92	73.0	3.62	AL	Escambia County	12
Escambia County, AL	19.56	21.75	68.69	73.88	3.65	AL	Escambia County	18
Etowah County, AL	94.5	106.0	249.5	61.0	2.65	AL	Etowah County	1
Etowah County, AL	78.75	95.75	259.5	65.75	3.45	AL	Etowah County	3
Etowah County, AL	79.0	88.43	278.57	63.86	3.63	AL	Etowah County	6
Etowah County, AL	89.0	108.46	284.85	54.31	3.33	AL	Etowah County	12
Etowah County, AL	89.06	107.0	269.56	54.38	3.13	AL	Etowah County	18
Fayette County, AL	10.5	11.0	23.5	51.0	2.25	AL	Fayette County	1
Fayette County, AL	7.0	10.25	23.0	50.0	4.45	AL	Fayette County	3
Fayette County, AL	7.4	10.0	23.0	48.6	4.08	AL	Fayette County	6
Fayette County, AL	6.82	8.09	20.82	55.18	3.74	AL	Fayette County	12
Fayette County, AL	6.14	7.43	18.57	53.93	3.66	AL	Fayette County	18
Franklin County, AL	11.0	12.0	41.0	38.5	3.75	AL	Franklin County	1
Franklin County, AL	12.75	14.75	46.75	43.25	3.8	AL	Franklin County	3
Franklin County, AL	11.57	17.0	51.0	34.43	4.6	AL	Franklin County	6
Franklin County, AL	9.42	16.92	45.33	41.17	5.33	AL	Franklin County	12
Franklin County, AL	8.21	15.36	40.93	54.29	6.64	AL	Franklin County	18
Geneva County, AL	20.0	15.0	35.5	87.5	1.9	AL	Geneva County	1
Geneva County, AL	15.0	13.75	38.25	79.75	3.0	AL	Geneva County	3
Geneva County, AL	15.57	14.14	43.86	61.29	3.11	AL	Geneva County	6
Geneva County, AL	15.0	16.15	42.46	54.08	3.11	AL	Geneva County	12
Geneva County, AL	15.12	15.69	39.56	58.75	2.93	AL	Geneva County	18
Greene County, AL	1.5	1.5	6.5	154.0	5.0	AL	Greene County	1
Greene County, AL	1.33	1.67	6.67	112.67	5.67	AL	Greene County	3
Greene County, AL	1.17	1.83	8.33	86.83	7.83	AL	Greene County	6
Greene County, AL	1.18	1.64	7.55	115.27	7.0	AL	Greene County	12
Greene County, AL	1.23	1.62	7.15	106.54	6.5	AL	Greene County	18
Hale County, AL	3.5	9.0	20.0	30.5	5.9	AL	Hale County	1
Hale County, AL	5.0	7.25	20.25	39.75	4.55	AL	Hale County	3
Hale County, AL	4.71	7.29	22.57	53.57	5.19	AL	Hale County	6
Hale County, AL	5.69	7.54	25.23	56.77	4.95	AL	Hale County	12
Hale County, AL	5.5	7.88	25.5	60.0	5.46	AL	Hale County	18
Henry County, AL	13.0	15.0	53.0	43.5	4.1	AL	Henry County	1
Henry County, AL	10.25	14.75	54.25	51.25	6.2	AL	Henry County	3
Henry County, AL	10.57	15.29	57.86	41.43	6.13	AL	Henry County	6
Henry County, AL	12.85	16.38	53.69	65.62	4.88	AL	Henry County	12
Henry County, AL	13.12	14.31	46.5	81.36	4.19	AL	Henry County	18
Houston County, AL	117.0	129.5	217.0	33.5	1.95	AL	Houston County	1
Houston County, AL	102.25	113.5	213.75	37.75	2.2	AL	Houston County	3
Houston County, AL	95.14	99.57	226.57	37.29	2.49	AL	Houston County	6
Houston County, AL	109.38	109.15	223.85	33.62	2.14	AL	Houston County	12
Houston County, AL	109.88	97.06	192.88	38.06	1.83	AL	Houston County	18
Jackson County, AL	38.0	35.5	100.0	77.5	2.65	AL	Jackson County	1
Jackson County, AL	30.75	33.25	100.5	69.0	3.48	AL	Jackson County	3
Jackson County, AL	28.0	31.14	109.29	66.57	4.16	AL	Jackson County	6
Jackson County, AL	32.85	39.46	109.85	56.85	3.6	AL	Jackson County	12
Jackson County, AL	33.38	38.62	105.94	57.5	3.4	AL	Jackson County	18
Jefferson County, AL	709.5	835.0	1728.5	42.0	2.45	AL	Jefferson County	1
Jefferson County, AL	624.0	756.25	1731.25	49.25	2.88	AL	Jefferson County	3
Jefferson County, AL	627.0	720.57	1827.71	48.0	2.97	AL	Jefferson County	6
Jefferson County, AL	789.08	914.92	1910.62	42.62	2.56	AL	Jefferson County	12
Jefferson County, AL	786.88	927.56	1845.31	41.44	2.47	AL	Jefferson County	18
Lamar County, AL	2.5	3.0	11.0	132.0	4.5	AL	Lamar County	1
Lamar County, AL	2.5	3.33	12.75	103.25	5.2	AL	Lamar County	3
Lamar County, AL	2.2	3.5	13.4	89.6	7.36	AL	Lamar County	6
Lamar County, AL	1.89	2.88	10.33	114.56	6.68	AL	Lamar County	12
Lamar County, AL	1.8	2.88	9.6	109.8	6.31	AL	Lamar County	18
Lauderdale County, AL	87.5	97.0	154.5	17.0	1.75	AL	Lauderdale County	1
Lauderdale County, AL	75.0	88.0	155.0	29.25	2.12	AL	Lauderdale County	3
Lauderdale County, AL	78.0	86.14	166.57	26.86	2.19	AL	Lauderdale County	6
Lauderdale County, AL	69.54	102.23	166.31	22.69	3.78	AL	Lauderdale County	12
Lauderdale County, AL	57.38	87.38	145.56	25.31	5.9	AL	Lauderdale County	18
Lawrence County, AL	15.5	18.0	32.0	40.5	2.4	AL	Lawrence County	1
Lawrence County, AL	14.0	17.75	35.5	67.25	2.75	AL	Lawrence County	3
Lawrence County, AL	16.71	17.14	41.57	55.43	2.61	AL	Lawrence County	6
Lawrence County, AL	19.15	21.92	52.54	47.0	2.86	AL	Lawrence County	12
Lawrence County, AL	18.56	22.44	51.5	46.19	2.89	AL	Lawrence County	18
Lee County, AL	198.5	282.5	507.5	29.5	2.55	AL	Lee County	1
Lee County, AL	171.0	263.25	506.75	43.75	3.05	AL	Lee County	3
Lee County, AL	185.0	230.0	524.57	37.0	2.9	AL	Lee County	6
Lee County, AL	234.85	268.31	560.0	35.38	2.54	AL	Lee County	12
Lee County, AL	236.5	270.06	592.25	39.88	2.64	AL	Lee County	18
Limestone County, AL	182.5	231.5	548.5	77.0	3.05	AL	Limestone County	1
Limestone County, AL	148.5	201.0	555.75	72.75	4.0	AL	Limestone County	3
Limestone County, AL	148.57	179.57	569.14	63.0	3.99	AL	Limestone County	6
Limestone County, AL	179.46	210.69	518.46	46.69	3.14	AL	Limestone County	12
Limestone County, AL	179.88	210.0	486.75	44.38	2.92	AL	Limestone County	18
Lowndes County, AL	1.5	3.5	11.5	159.0	8.75	AL	Lowndes County	1
Lowndes County, AL	1.5	2.5	9.75	157.75	7.38	AL	Lowndes County	3
Lowndes County, AL	1.67	2.17	9.0	144.83	6.17	AL	Lowndes County	6
Lowndes County, AL	1.92	2.42	10.08	151.92	6.57	AL	Lowndes County	12
Lowndes County, AL	2.14	2.36	9.86	147.57	5.99	AL	Lowndes County	18
Macon County, AL	6.5	8.0	30.0	101.0	4.65	AL	Macon County	1
Macon County, AL	6.0	8.0	32.25	166.5	5.5	AL	Macon County	3
Macon County, AL	6.0	7.14	33.57	118.14	5.79	AL	Macon County	6
Macon County, AL	5.31	8.46	38.62	111.15	8.62	AL	Macon County	12
Macon County, AL	5.38	8.62	36.69	112.44	8.35	AL	Macon County	18
Madison County, AL	614.5	632.5	1481.5	53.0	2.4	AL	Madison County	1
Madison County, AL	521.25	585.0	1525.5	56.25	3.05	AL	Madison County	3
Madison County, AL	539.43	570.57	1601.57	49.29	3.04	AL	Madison County	6
Madison County, AL	647.92	709.54	1516.92	37.69	2.5	AL	Madison County	12
Madison County, AL	642.19	709.0	1425.94	36.94	2.36	AL	Madison County	18
Marengo County, AL	5.0	3.0	10.0	84.0	2.0	AL	Marengo County	1
Marengo County, AL	4.0	3.33	9.67	55.33	2.83	AL	Marengo County	3
Marengo County, AL	2.5	3.33	9.83	101.33	6.42	AL	Marengo County	6
Marengo County, AL	2.58	3.08	9.25	94.25	5.37	AL	Marengo County	12
Marengo County, AL	2.8	3.07	9.4	94.07	4.87	AL	Marengo County	18
Marion County, AL	13.5	16.0	55.0	132.0	4.15	AL	Marion County	1
Marion County, AL	10.75	13.75	55.75	99.5	6.85	AL	Marion County	3
Marion County, AL	11.71	15.29	62.14	78.0	6.29	AL	Marion County	6
Marion County, AL	11.15	18.77	63.08	78.85	6.39	AL	Marion County	12
Marion County, AL	10.19	17.06	56.88	83.69	6.3	AL	Marion County	18
Marshall County, AL	78.5	111.0	255.0	37.5	3.25	AL	Marshall County	1
Marshall County, AL	66.5	98.25	272.25	43.75	4.28	AL	Marshall County	3
Marshall County, AL	75.71	89.0	277.43	45.86	3.84	AL	Marshall County	6
Marshall County, AL	92.38	112.46	269.69	41.92	3.17	AL	Marshall County	12
Marshall County, AL	93.25	112.38	261.31	42.38	3.03	AL	Marshall County	18
Mobile County, AL	397.5	445.0	734.0	24.0	1.85	AL	Mobile County	1
Mobile County, AL	360.25	400.25	752.75	29.75	2.12	AL	Mobile County	3
Mobile County, AL	359.14	382.43	816.14	25.29	2.31	AL	Mobile County	6
Mobile County, AL	431.38	338.85	608.92	18.38	1.6	AL	Mobile County	12
Mobile County, AL	435.62	291.38	512.12	17.44	1.34	AL	Mobile County	18
Monroe County, AL	2.0	2.5	7.0	57.5	5.0	AL	Monroe County	1
Monroe County, AL	2.5	3.33	7.75	52.5	5.15	AL	Monroe County	3
Monroe County, AL	2.71	4.0	8.57	54.57	4.33	AL	Monroe County	6
Monroe County, AL	2.25	3.1	7.75	66.67	4.48	AL	Monroe County	12
Monroe County, AL	2.13	2.92	7.4	67.4	4.39	AL	Monroe County	18
Montgomery County, AL	249.0	319.0	764.0	51.0	3.1	AL	Montgomery County	1
Montgomery County, AL	211.75	285.75	755.0	53.25	3.7	AL	Montgomery County	3
Montgomery County, AL	219.29	269.71	769.86	55.0	3.59	AL	Montgomery County	6
Montgomery County, AL	266.92	321.0	832.54	52.38	3.24	AL	Montgomery County	12
Montgomery County, AL	269.0	324.19	820.06	51.44	3.15	AL	Montgomery County	18
Morgan County, AL	117.0	128.0	251.5	46.0	2.15	AL	Morgan County	1
Morgan County, AL	99.25	114.75	250.25	46.5	2.65	AL	Morgan County	3
Morgan County, AL	102.43	106.86	266.14	45.29	2.67	AL	Morgan County	6
Morgan County, AL	124.92	139.0	277.85	37.77	2.33	AL	Morgan County	12
Morgan County, AL	125.88	139.94	265.06	37.44	2.2	AL	Morgan County	18
Perry County, AL	2.0		4.0	185.0	2.0	AL	Perry County	1
Perry County, AL	2.0		4.0	185.0	2.0	AL	Perry County	3
Perry County, AL	1.5	3.0	7.0	193.0	6.0	AL	Perry County	6
Perry County, AL	1.57	4.25	11.0	122.86	8.21	AL	Perry County	12
Perry County, AL	1.5	4.0	10.5	138.25	8.06	AL	Perry County	18
Pickens County, AL	4.0	7.5	25.5	116.5	6.4	AL	Pickens County	1
Pickens County, AL	3.5	6.75	26.75	139.75	8.4	AL	Pickens County	3
Pickens County, AL	4.29	6.71	28.86	97.86	8.74	AL	Pickens County	6
Pickens County, AL	5.23	7.69	28.15	86.46	6.97	AL	Pickens County	12
Pickens County, AL	5.12	7.94	27.5	86.25	6.65	AL	Pickens County	18
Pike County, AL	3.5	9.0	20.0	44.0	5.8	AL	Pike County	1
Pike County, AL	2.75	6.25	20.0	44.25	7.9	AL	Pike County	3
Pike County, AL	2.43	5.86	18.29	66.0	8.99	AL	Pike County	6
Pike County, AL	3.15	5.23	15.62	77.46	6.6	AL	Pike County	12
Pike County, AL	3.5	5.19	15.62	85.31	5.95	AL	Pike County	18
Randolph County, AL	12.5	17.5	53.0	108.5	5.0	AL	Randolph County	1
Randolph County, AL	10.5	15.75	51.75	71.75	5.75	AL	Randolph County	3
Randolph County, AL	10.86	14.57	55.0	76.71	5.56	AL	Randolph County	6
Randolph County, AL	14.54	19.62	57.08	57.54	4.5	AL	Randolph County	12
Randolph County, AL	14.62	19.06	53.5	62.31	4.14	AL	Randolph County	18
Shelby County, AL	284.5	300.5	608.0	42.5	2.15	AL	Shelby County	1
Shelby County, AL	244.75	277.25	598.75	47.5	2.55	AL	Shelby County	3
Shelby County, AL	254.0	257.29	624.86	47.29	2.51	AL	Shelby County	6
Shelby County, AL	322.31	346.0	691.92	42.15	2.25	AL	Shelby County	12
Shelby County, AL	321.06	349.31	661.69	40.62	2.15	AL	Shelby County	18
St. Clair County, AL	92.0	95.0	278.5	73.0	3.05	AL	St. Clair County	1
St. Clair County, AL	80.75	87.0	289.25	80.0	3.72	AL	St. Clair County	3
St. Clair County, AL	83.29	84.0	308.57	73.86	3.79	AL	St. Clair County	6
St. Clair County, AL	107.77	119.69	323.15	59.08	3.2	AL	St. Clair County	12
St. Clair County, AL	110.5	121.88	312.38	56.0	3.04	AL	St. Clair County	18
Sumter County, AL	1.5		3.0	340.5	2.0	AL	Sumter County	1
Sumter County, AL	2.0	2.0	4.0	231.33	2.0	AL	Sumter County	3
