county_qualified_name	homes_sold_redfin	new_listings_redfin	inventory_redfin	median_dom_redfin	months_of_supply_redfin	state_code	county_name	months_averaged_redfin	Total Comps	For Sale Comps (All)	Sold Comps (All)	Sold Comps (6m)	Sold Comps (3m)	Listed Comps (12m)	Listed Comps (6m)	Listed Comps (3m)	Sold-For Sale Ratio	Sold-Listed Ratio (12m)	Sold-Listed Ratio (6m)	Sold-Listed Ratio (3m)	Parcels on Market Ratio	Total DataTree Parcels	Total Out of State Owner Parcels	Total Out of County Owner Parcels	Out of State to Total Ratio	Out of County to Total Ratio	Coefficient of Variation	Coefficient of Variation (6m)	Coefficient of Variation (3m)	Days on Market	MoM Price Change %	Economic Rank	Economic Score	Population	Population Change (2010-2019)	Population Change %	Population-Sq Mile	property_count
Choctaw County, AL	1.2	1.0	1.6	133.0	1.4	AL	Choctaw County	12	72	39	33	0	0	0	0	0	0.85	33.0	0.0	0.0	0.003	15105	2832	6527	0.187	0.432	0.27	0.11	0.11	1116.0	7.86	892.0	0.5	12589	-1260	-10.0	13.7	23,498
Choctaw County, AL	1.33	1.0	1.83	171.5	1.42	AL	Choctaw County	18	72	39	33	0	0	0	0	0	0.85	33.0	0.0	0.0	0.003	15105	2832	6527	0.187	0.432	0.27	0.11	0.11	1116.0	7.86	892.0	0.5	12589	-1260	-10.0	13.7	23,498
Clarke County, AL	5.0	2.0	9.0	54.0	1.8	AL	Clarke County	1	251	196	55	3	2	43	29	9	0.28	1.28	0.1	0.22	0.014	13843	2182	5216	0.158	0.377	0.48	0.42	0.42	232.8	5.25	874.0	0.52	23622	-2144	-9.1	18.9	31,404
Clarke County, AL	3.67	3.67	12.33	88.33	3.7	AL	Clarke County	3	251	196	55	3	2	43	29	9	0.28	1.28	0.1	0.22	0.014	13843	2182	5216	0.158	0.377	0.48	0.42	0.42	232.8	5.25	874.0	0.52	23622	-2144	-9.1	18.9	31,404
Clarke County, AL	4.2	3.6	11.6	97.4	3.12	AL	Clarke County	6	251	196	55	3	2	43	29	9	0.28	1.28	0.1	0.22	0.014	13843	2182	5216	0.158	0.377	0.48	0.42	0.42	232.8	5.25	874.0	0.52	23622	-2144	-9.1	18.9	31,404
Clarke County, AL	4.27	3.82	12.18	77.73	3.27	AL	Clarke County	12	251	196	55	3	2	43	29	9	0.28	1.28	0.1	0.22	0.014	13843	2182	5216	0.158	0.377	0.48	0.42	0.42	232.8	5.25	874.0	0.52	23622	-2144	-9.1	18.9	31,404
Clarke County, AL	4.36	3.93	12.0	72.5	3.14	AL	Clarke County	18	251	196	55	3	2	43	29	9	0.28	1.28	0.1	0.22	0.014	13843	2182	5216	0.158	0.377	0.48	0.42	0.42	232.8	5.25	874.0	0.52	23622	-2144	-9.1	18.9	31,404
Clay County, AL	6.5	7.0	21.0	154.5	3.25	AL	Clay County	1	643	455	188	58	29	87	48	26	0.41	2.16	1.21	1.12	0.055	8294	1197	3521	0.144	0.425	0.59	0.55	0.56	182.5	1.26	1293.0	0.09	13235	-663	-5.0	21.8	16,920
Clay County, AL	5.0	6.25	21.0	133.75	4.78	AL	Clay County	3	643	455	188	58	29	87	48	26	0.41	2.16	1.21	1.12	0.055	8294	1197	3521	0.144	0.425	0.59	0.55	0.56	182.5	1.26	1293.0	0.09	13235	-663	-5.0	21.8	16,920
Clay County, AL	4.86	5.71	21.57	101.43	5.07	AL	Clay County	6	643	455	188	58	29	87	48	26	0.41	2.16	1.21	1.12	0.055	8294	1197	3521	0.144	0.425	0.59	0.55	0.56	182.5	1.26	1293.0	0.09	13235	-663	-5.0	21.8	16,920
Clay County, AL	5.15	6.46	20.77	76.92	4.61	AL	Clay County	12	643	455	188	58	29	87	48	26	0.41	2.16	1.21	1.12	0.055	8294	1197	3521	0.144	0.425	0.59	0.55	0.56	182.5	1.26	1293.0	0.09	13235	-663	-5.0	21.8	16,920
Clay County, AL	4.69	6.12	19.81	124.75	5.47	AL	Clay County	18	643	455	188	58	29	87	48	26	0.41	2.16	1.21	1.12	0.055	8294	1197	3521	0.144	0.425	0.59	0.55	0.56	182.5	1.26	1293.0	0.09	13235	-663	-5.0	21.8	16,920
Cleburne County, AL	3.0	6.0	22.0	151.0	8.25	AL	Cleburne County	1	473	355	118	51	23	88	39	25	0.33	1.34	1.31	0.92	0.044	8044	1746	2781	0.217	0.346	0.61	0.55	0.55	212.7	14.13	1260.0	0.12	14910	-94	-0.6	26.6	16,231
Cleburne County, AL	4.75	6.25	20.25	122.5	5.7	AL	Cleburne County	3	473	355	118	51	23	88	39	25	0.33	1.34	1.31	0.92	0.044	8044	1746	2781	0.217	0.346	0.61	0.55	0.55	212.7	14.13	1260.0	0.12	14910	-94	-0.6	26.6	16,231
Cleburne County, AL	6.29	7.33	24.29	120.57	5.0	AL	Cleburne County	6	473	355	118	51	23	88	39	25	0.33	1.34	1.31	0.92	0.044	8044	1746	2781	0.217	0.346	0.61	0.55	0.55	212.7	14.13	1260.0	0.12	14910	-94	-0.6	26.6	16,231
Cleburne County, AL	7.77	9.42	28.92	90.31	4.68	AL	Cleburne County	12	473	355	118	51	23	88	39	25	0.33	1.34	1.31	0.92	0.044	8044	1746	2781	0.217	0.346	0.61	0.55	0.55	212.7	14.13	1260.0	0.12	14910	-94	-0.6	26.6	16,231
Cleburne County, AL	8.31	10.07	28.19	82.62	4.28	AL	Cleburne County	18	473	355	118	51	23	88	39	25	0.33	1.34	1.31	0.92	0.044	8044	1746	2781	0.217	0.346	0.61	0.55	0.55	212.7	14.13	1260.0	0.12	14910	-94	-0.6	26.6	16,231
Coffee County, AL	54.5	84.5	168.5	35.0	3.1	AL	Coffee County	1	1135	844	291	38	17	264	229	86	0.34	1.1	0.17	0.2	0.065	12917	1633	3758	0.126	0.291	0.59	0.51	0.52	253.7	0.98	1681.0	-0.22	52342	2134	4.1	76.9	35,639
Coffee County, AL	47.5	65.75	150.0	40.25	3.2	AL	Coffee County	3	1135	844	291	38	17	264	229	86	0.34	1.1	0.17	0.2	0.065	12917	1633	3758	0.126	0.291	0.59	0.51	0.52	253.7	0.98	1681.0	-0.22	52342	2134	4.1	76.9	35,639
Coffee County, AL	53.43	60.71	151.57	45.71	2.9	AL	Coffee County	6	1135	844	291	38	17	264	229	86	0.34	1.1	0.17	0.2	0.065	12917	1633	3758	0.126	0.291	0.59	0.51	0.52	253.7	0.98	1681.0	-0.22	52342	2134	4.1	76.9	35,639
Coffee County, AL	67.92	76.69	163.92	44.31	2.54	AL	Coffee County	12	1135	844	291	38	17	264	229	86	0.34	1.1	0.17	0.2	0.065	12917	1633	3758	0.126	0.291	0.59	0.51	0.52	253.7	0.98	1681.0	-0.22	52342	2134	4.1	76.9	35,639
Coffee County, AL	70.62	77.94	165.31	45.88	2.48	AL	Coffee County	18	1135	844	291	38	17	264	229	86	0.34	1.1	0.17	0.2	0.065	12917	1633	3758	0.126	0.291	0.59	0.51	0.52	253.7	0.98	1681.0	-0.22	52342	2134	4.1	76.9	35,639
Colbert County, AL	45.0	63.5	127.0	28.5	2.8	AL	Colbert County	1	843	717	126	57	18	299	146	78	0.18	0.42	0.39	0.23	0.044	16438	1984	4831	0.121	0.294	0.83	0.8	0.8	346.4	-2.58	956.0	0.43	55241	717	1.3	88.6	42,754
Colbert County, AL	43.75	57.25	125.0	34.75	2.92	AL	Colbert County	3	843	717	126	57	18	299	146	78	0.18	0.42	0.39	0.23	0.044	16438	1984	4831	0.121	0.294	0.83	0.8	0.8	346.4	-2.58	956.0	0.43	55241	717	1.3	88.6	42,754
Colbert County, AL	47.29	56.0	136.71	32.71	2.94	AL	Colbert County	6	843	717	126	57	18	299	146	78	0.18	0.42	0.39	0.23	0.044	16438	1984	4831	0.121	0.294	0.83	0.8	0.8	346.4	-2.58	956.0	0.43	55241	717	1.3	88.6	42,754
Colbert County, AL	39.23	63.38	134.54	28.38	10.33	AL	Colbert County	12	843	717	126	57	18	299	146	78	0.18	0.42	0.39	0.23	0.044	16438	1984	4831	0.121	0.294	0.83	0.8	0.8	346.4	-2.58	956.0	0.43	55241	717	1.3	88.6	42,754
Colbert County, AL	34.27	57.87	124.4	34.93	12.85	AL	Colbert County	18	843	717	126	57	18	299	146	78	0.18	0.42	0.39	0.23	0.044	16438	1984	4831	0.121	0.294	0.83	0.8	0.8	346.4	-2.58	956.0	0.43	55241	717	1.3	88.6	42,754
Conecuh County, AL	2.0	4.5	12.0	49.5	6.0	AL	Conecuh County	1	303	224	79	11	8	48	45	35	0.35	1.65	0.24	0.23	0.022	10234	2662	5859	0.26	0.573	0.36	0.35	0.35	189.1	-2.77	2392.0	-0.92	12067	-1169	-9.7	14.2	18,657
Conecuh County, AL	1.67	5.33	12.67	70.67	8.67	AL	Conecuh County	3	303	224	79	11	8	48	45	35	0.35	1.65	0.24	0.23	0.022	10234	2662	5859	0.26	0.573	0.36	0.35	0.35	189.1	-2.77	2392.0	-0.92	12067	-1169	-9.7	14.2	18,657
Conecuh County, AL	1.83	4.2	13.17	109.0	8.22	AL	Conecuh County	6	303	224	79	11	8	48	45	35	0.35	1.65	0.24	0.23	0.022	10234	2662	5859	0.26	0.573	0.36	0.35	0.35	189.1	-2.77	2392.0	-0.92	12067	-1169	-9.7	14.2	18,657
Conecuh County, AL	1.82	3.3	11.18	100.0	7.85	AL	Conecuh County	12	303	224	79	11	8	48	45	35	0.35	1.65	0.24	0.23	0.022	10234	2662	5859	0.26	0.573	0.36	0.35	0.35	189.1	-2.77	2392.0	-0.92	12067	-1169	-9.7	14.2	18,657
Conecuh County, AL	2.0	3.15	10.71	101.79	6.91	AL	Conecuh County	18	303	224	79	11	8	48	45	35	0.35	1.65	0.24	0.23	0.022	10234	2662	5859	0.26	0.573	0.36	0.35	0.35	189.1	-2.77	2392.0	-0.92	12067	-1169	-9.7	14.2	18,657
Coosa County, AL	3.0	6.0	12.5	334.5	6.9	AL	Coosa County	1	515	417	98	15	4	105	82	67	0.24	0.93	0.18	0.06	0.052	8022	1440	5236	0.18	0.653	0.39	0.37	0.37	239.7	12.21	616.0	0.89	10663	-1117	-10.5	16.0	30,235
Coosa County, AL	2.25	3.67	13.0	391.5	8.45	AL	Coosa County	3	515	417	98	15	4	105	82	67	0.24	0.93	0.18	0.06	0.052	8022	1440	5236	0.18	0.653	0.39	0.37	0.37	239.7	12.21	616.0	0.89	10663	-1117	-10.5	16.0	30,235
Coosa County, AL	3.0	4.4	16.14	256.14	7.19	AL	Coosa County	6	515	417	98	15	4	105	82	67	0.24	0.93	0.18	0.06	0.052	8022	1440	5236	0.18	0.653	0.39	0.37	0.37	239.7	12.21	616.0	0.89	10663	-1117	-10.5	16.0	30,235
Coosa County, AL	3.77	5.45	15.85	164.62	5.88	AL	Coosa County	12	515	417	98	15	4	105	82	67	0.24	0.93	0.18	0.06	0.052	8022	1440	5236	0.18	0.653	0.39	0.37	0.37	239.7	12.21	616.0	0.89	10663	-1117	-10.5	16.0	30,235
Coosa County, AL	3.88	5.43	16.25	146.12	5.64	AL	Coosa County	18	515	417	98	15	4	105	82	67	0.24	0.93	0.18	0.06	0.052	8022	1440	5236	0.18	0.653	0.39	0.37	0.37	239.7	12.21	616.0	0.89	10663	-1117	-10.5	16.0	30,235
Covington County, AL	19.5	31.0	108.0	55.0	5.75	AL	Covington County	1	1233	903	330	73	34	377	339	278	0.37	0.88	0.22	0.12	0.076	11830	2604	4154	0.22	0.351	0.61	0.56	0.55	243.3	2.26	1494.0	-0.07	37049	-760	-2.1	35.5	33,979
