County	State	property_count	population_2015	square_miles	people/sqmiles
Poinsett County	Arkansas	"17,516"	"24,145"	764	32
Poinsett County	Arkansas	"17,516"	"24,145"	764	32
Polk County	Arkansas	"18,080"	"20,406"	862	24
Polk County	Arkansas	"18,080"	"20,406"	862	24
Pope County	Arkansas	"30,296"	"62,547"	831	75
Pope County	Arkansas	"30,296"	"62,547"	831	75
Prairie County	Arkansas	"7,998"	"8,374"	676	12
Prairie County	Arkansas	"7,998"	"8,374"	676	12
Pulaski County	Arkansas	"174,523"	"391,284"	808	484
Pulaski County	Arkansas	"174,523"	"391,284"	808	484
Randolph County	Arkansas	"16,645"	"17,692"	656	27
Randolph County	Arkansas	"16,645"	"17,692"	656	27
Saline County	Arkansas	"73,326"	"114,404"	730	157
Saline County	Arkansas	"73,326"	"114,404"	730	157
Scott County	Arkansas	"5,203"	"10,950"	898	12
Scott County	Arkansas	"5,203"	"10,950"	898	12
Searcy County	Arkansas	n/a	"8,023"	669	12
Searcy County	Arkansas	n/a	"8,023"	669	12
Sebastian County	Arkansas	"57,474"	"127,342"	546	233
Sebastian County	Arkansas	"57,474"	"127,342"	546	233
Sevier County	Arkansas	"12,115"	"17,366"	581	30
Sevier County	Arkansas	"12,115"	"17,366"	581	30
Sharp County	Arkansas	"45,325"	"17,049"	606	28
Sharp County	Arkansas	"45,325"	"17,049"	606	28
St. Francis County	Arkansas	"7,006"	"27,260"	643	42
St. Francis County	Arkansas	"7,006"	"27,260"	643	42
Stone County	Arkansas	"15,209"	"12,581"	609	21
Stone County	Arkansas	"15,209"	"12,581"	609	21
Union County	Arkansas	"27,140"	"40,694"	"1,055"	39
Union County	Arkansas	"27,140"	"40,694"	"1,055"	39
Van Buren County	Arkansas	"21,573"	"16,932"	724	23
Van Buren County	Arkansas	"21,573"	"16,932"	724	23
Washington County	Arkansas	"98,830"	"216,410"	952	227
Washington County	Arkansas	"98,830"	"216,410"	952	227
White County	Arkansas	"45,690"	"78,483"	"1,042"	75
White County	Arkansas	"45,690"	"78,483"	"1,042"	75
Woodruff County	Arkansas	"10,364"	"7,072"	594	12
Woodruff County	Arkansas	"10,364"	"7,072"	594	12
Yell County	Arkansas	n/a	"21,893"	949	23
Yell County	Arkansas	n/a	"21,893"	949	23
Alameda County	California	"469,919"	"1,578,891"	"1,853"	1922
Alpine County	California	"2,305"	"1,159"	743	2
Amador County	California	"23,929"	"36,519"	606	60
Butte County	California	"94,149"	"222,090"	"1,677"	132
Calaveras County	California	"43,591"	"44,515"	"1,037"	43
Colusa County	California	"14,726"	"21,358"	"1,156"	18
Contra Costa County	California	"495,634"	"1,094,205"	804	1361
Del Norte County	California	"16,165"	"27,873"	"1,230"	23
El Dorado County	California	"108,990"	"181,737"	"1,786"	102
Fresno County	California	"301,260"	"955,272"	"6,011"	159
Glenn County	California	"15,099"	"27,940"	"1,327"	21
Humboldt County	California	"72,389"	"134,493"	"4,052"	33
Imperial County	California	"86,084"	"176,584"	"4,482"	39
Inyo County	California	"17,363"	"18,467"	"10,227"	2
Kern County	California	"403,919"	"864,124"	8163	106
Kings County	California	"48,753"	"150,960"	1392	108
Lake County	California	"64,120"	"63,860"	1329	48
Lassen County	California	"38,508"	"32,163"	1864	7
Los Angeles County	California	"2,400,706"	########	4751	2108
Madera County	California	"57,214"	"152,389"	2153	71
Marin County	California	"96,206"	"258,365"	828	312
Mariposa County	California	"15,301"	"17,755"	1463	12
Mendocino County	California	"60,222"	"87,192"	3878	22
Merced County	California	"86,039"	"263,228"	1979	133
Modoc County	California	"33,211"	"9,147"	"4,203"	2
Mono County	California	"24,614"	"14,074"	3132	4
Monterey County	California	"120,934"	"428,826"	3771	114
Napa County	California	"49,584"	"140,326"	789	178
Nevada County	California	"67,819"	"98,200"	974	101
Orange County	California	"685,353"	"3,114,363"	948	3285
Placer County	California	"173,153"	"367,309"	1502	244
Plumas County	California	"26,293"	"18,859"	2613	7
Riverside County	California	"868,951"	"2,292,507"	7303	314
Sacramento County	California	"447,244"	"1,462,131"	994	1471
San Benito County	California	"20,622"	"57,600"	1390	41
San Bernardino County	California	"818,058"	"2,088,371"	20105	104
San Diego County	California	"1,064,942"	"3,211,252"	4526	710
"San Francisco, City and of County"	California	"277,468"	"837,442"	232	3611
San Joaquin County	California	"221,017"	"704,379"	1426	494
San Luis Obispo County	California	"125,697"	"276,443"	3616	76
San Mateo County	California	"234,017"	"747,373"	741	1009
Santa Barbara County	California	"128,391"	"435,697"	3789	115
Santa Clara County	California	"431,765"	"1,862,041"	1304	1428
Santa Cruz County	California	"96,762"	"269,419"	607	444
Shasta County	California	"97,386"	"178,980"	3847	47
Sierra County	California	"5,070"	"3,047"	962	3
Siskiyou County	California	"53,465"	"43,799"	6347	7
Solano County	California	"154,746"	"424,788"	906	469
Sonoma County	California	"186,669"	"495,025"	1768	280
Stanislaus County	California	"180,217"	"525,491"	1515	347
Sutter County	California	"34,803"	"95,350"	608	608
Tehama County	California	"44,838"	"63,057"	1856	21
Trinity County	California	"16,639"	"13,448"	3208	4
Tulare County	California	"154,156"	"454,143"	4839	94
Tuolumne County	California	"46,962"	"53,874"	2274	24
Ventura County	California	"260,766"	"839,620"	2208	380
Yolo County	California	"62,655"	"204,593"	1024	200
Yuba County	California	"32,002"	"73,340"	644	114
Adams County	Colorado	"159,506"	"469,193"	1184	396
Alamosa County	Colorado	"14,253"	"16,253"	723	22
Arapahoe County	Colorado	"214,375"	"607,070"	805	754
Archuleta County	Colorado	"17,876"	"12,194"	"1,356"	9
Baca County	Colorado	n/a	"3,682"	2557	1
Bent County	Colorado	n/a	"5,688"	"1,541"	4
Boulder County	Colorado	"123,212"	"310,048"	740	419
Broomfield County	Colorado	"23,880"	"59,471"	34	1770
Chaffee County	Colorado	"15,589"	"18,510"	"1,015"	18
Cheyenne County	Colorado	"4,740"	"1,890"	"1,781"	1
Clear Creek County	Colorado	"24,949"	"9,031"	396	23
Conejos County	Colorado	"8,681"	"8,277"	"1,291"	6
Costilla County	Colorado	"64,559"	"3,518"	"1,230"	
Crowley County	Colorado	n/a	"5,322"		7
Custer County	Colorado	"9,591"	"4,285"	740	6
Delta County	Colorado	"18,591"	"30,483"	"1,149"	27
"Denver, City and of County"	Colorado	"227,411"	"649,495"	155	4200
Dolores County	Colorado	n/a	"2,029"	"1,068"	2
Douglas County	Colorado	"131,042"	"305,963"	843	363
Eagle County	Colorado	"23,458"	"52,460"	"1,692"	31
El Paso County	Colorado	"221,023"	"655,044"	"2,130"	308
Elbert County	Colorado	"13,856"	"23,733"	"1,851"	13
Fremont County	Colorado	"28,615"	"46,451"	"1,534"	30
Garfield County	Colorado	"27,553"	"57,302"	"2,956"	19
Gilpin County	Colorado	"9,224"	"5,601"	150	37
Grand County	Colorado	"33,058"	"14,289"	"1,870"	8
Gunnison County	Colorado	"20,303"	"15,507"	"3,260"	5
Hinsdale County	Colorado	n/a	813	"1,123"	1
Huerfano County	Colorado	n/a	"6,519"	"1,593"	4
Jackson County	Colorado	"38,427"	"1,365"	"1,621"	1
Jefferson County	Colorado	"248,269"	"551,798"	774	713
Kiowa County	Colorado	"4,066"	"1,423"	"1,786"	1
Kit Carson County	Colorado	n/a	"8,037"	"2,162"	4
La Plata County	Colorado	"34,079"	"53,284"	"1,700"	31
Lake County	Colorado	"10,031"	"7,306"	384	19
Larimer County	Colorado	"152,378"	"315,988"	"2,634"	120
Lincoln County	Colorado	"8,682"	"5,430"	"2,586"	2
Logan County	Colorado	"11,994"	"22,450"	"1,845"	12
Mesa County	Colorado	"73,801"	"147,554"	"3,341"	44
Mineral County	Colorado	"3,883"	721	878	1
Moffat County	Colorado	"10,611"	"13,103"	"4,751"	3
Montezuma County	Colorado	"14,82"	"25,642"	"2,040"	13
Montrose County	Colorado	"26,213"	"40,713"	"2,243"	18
Morgan County	Colorado	"14,900"	"28,404"	"1,294"	22
n/a County	Colorado	n/a	"14,446"	"4,775"	3
Otero County	Colorado	"11,404"	"18,703"	"1,270"	15
Ouray County	Colorado	"9,531"	"4,557"	542	8
Park County	Colorado	"42,682"	"16,121"	"2,211"	7
Phillips County	Colorado	"7,276"	"4,356"	688	6
Pitkin County	Colorado	"18,723"	"17,379"	973	18
Prowers County	Colorado	n/a	"12,291"	"1,644"	7
Pueblo County	Colorado	"103,228"	"161,451"	"2,398"	67
Rio Blanco County	Colorado	"5,058"	"6,807"	"3,223"	2
Rio Grande County	Colorado	"13,241"	"11,803"	912	13
Routt County	Colorado	"24,715"	"23,513"	"2,368"	10
Saguache County	Colorado	"21,737"	"6,208"	"3,170"	2
San Juan County	Colorado	"4,376"	692	388	2
San Miguel County	Colorado	"10,274"	"7,678"	"1,289"	6
Sedgwick County	Colorado	"220,111"	"2,360"	549	4
Summit County	Colorado	"22,261"	"28,649"	619	46
Teller County	Colorado	"31,387"	"23,275"	559	42
Washington County	Colorado	"7,720"	"4,803"	"2,524"	2
Weld County	Colorado	"235,185"	"269,785"	"4,017"	67
Yuma County	Colorado	"13,321"	"10,151"	"2,369"	4
Fairfield County	Connecticut	"279,477"	"939,904"		
Hartford County	Connecticut	"292,829"	"898,272"		
Litchfield County	Connecticut	"84,928"	"186,924"		
Middlesex County	Connecticut	"68,995"	"165,562"		
New Haven County	Connecticut	"273,591"	"862,287"		
New London County	Connecticut	"103,163"	"274,150"		
Tolland County	Connecticut	"57,666"	"151,377"		
Windham County	Connecticut	"52,156"	"117,604"		
Kent County	Delaware	"84,073"	"169,416"	798	212
New Castle County	Delaware	"204,380"	"549,684"	494	1113
Sussex County	Delaware	"182,450"	"206,649"	"1,196"	173
Alachua County	Florida	"111,708"	"253,451"	969	262
Baker County	Florida	"12,738"	"27,013"	589	46
Bay County	Florida	"117,858"	"174,987"	"1,033"	169
Bradford County	Florida	"15,100"	"26,850"	300	89
Brevard County	Florida	"326,785"	"550,823"	"1,557"	354
Broward County	Florida	"776,068"	"1,838,844"	"1,323"	1390
Calhoun County	Florida	"11,343"	"14,682"	574	26
Charlotte County	Florida	"214,473"	"164,736"	858	192
Citrus County	Florida	"146,270"	"139,271"	773	180
Clay County	Florida	"90,071"	"196,399"	644	305
Collier County	Florida	"332,380"	"339,642"	"2,305"	147
Columbia County	Florida	"36,318"	"67,543"	801	84
DeSoto County	Florida	"19,992"	"34,517"	639	54
Dixie County	Florida	"16,211"	"15,940"	864	18
Duval County	Florida	"362,522"	"885,855"	918	965
Escambia County	Florida	"151,324"	"305,817"	875	350
Flagler County	Florida	"78,969"	"99,956"	571	175
Franklin County	Florida	"18,484"	"11,598"	"1,026"	11
Gadsden County	Florida	"27,277"	"46,194"	529	87
Gilchrist County	Florida	"14,964"	"16,931"	355	48
Glades County	Florida	"11,252"	"13,345"	987	14
Gulf County	Florida	"16,929"	"15,829"	756	21
Hamilton County	Florida	"14,729"	"14,354"	519	28
Hardee County	Florida	"14,319"	"27,519"	638	43
Hendry County	Florida	"35,449"	"37,471"	"1,190"	31
Hernando County	Florida	"115,439"	"174,441"	589	296
Highlands County	Florida	"113,268"	"97,616"	"1,106"	88
Hillsborough County	Florida	"486,906"	"1,291,578"	"1,266"	1020
Holmes County	Florida	"15,710"	"19,717"	489	40
Indian River County	Florida	"76,868"	"141,994"	617	230
Jackson County	Florida	"38,427"	"48,922"	955	51
Jefferson County	Florida	"12,962"	"14,194"	637	22
Lafayette County	Florida	"7,160"	"8,848"	548	16
Lake County	Florida	"177,873"	"308,034"	"1,157"	266
Lee County	Florida	"546,594"	"661,115"	"1,212"	545
Leon County	Florida	"108,648"	"281,845"	702	402
Levy County	Florida	"48,453"	"39,644"	"1,413"	28
Liberty County	Florida	"6,145"	"8,349"	843	10
Madison County	Florida	"15,844"	"18,728"	716	26
Manatee County	Florida	"139,854"	"342,106"	893	383
Marion County	Florida	"267,517"	"337,362"	"1,663"	203
Martin County	Florida	"94,782"	"151,263"	753	201
Miami-Dade County	Florida	"569,041"	"2,617,176"	"2,431"	1077
Monroe County	Florida	"89,584"	"76,351"	"3,738"	20
Nassau County	Florida	"48,926"	"75,710"	726	104
Okaloosa County	Florida	"106,035"	"193,811"	"1,082"	179
Okeechobee County	Florida	"33,597"	"39,330"	892	44
Orange County	Florida	"446,023"	"1,225,267"	"1,003"	1221
Osceola County	Florida	"155,961"	"298,504"	"1,506"	198
Palm Beach County	Florida	"664,864"	"1,372,171"	"2,383"	576
Pasco County	Florida	"262,623"	"475,502"	868	548
Pinellas County	Florida	"434,423"	"929,048"	608	1528
Polk County	Florida	"357,822"	"623,009"	"2,011"	310
Putnam County	Florida	"98,738"	"72,577"	827	88
Santa Rosa County	Florida	"98,471"	"161,096"	"1,174"	137
Sarasota County	Florida	"276,061"	"390,429"	725	538
Seminole County	Florida	"172,688"	"436,041"	345	1263
St. Johns County	Florida	"161,767"	"209,647"	822	255
St. Lucie County	Florida	"168,747"	"286,832"	688	417
Sumter County	Florida	"81,123"	"107,056"	580	185
Suwannee County	Florida	"30,816"	"43,734"	692	63
Taylor County	Florida	"18,347"	"22,857"	"1,232"	19
Union County	Florida	"6,795"	"15,136"	250	61
Volusia County	Florida	"285,877"	"500,800"	"1,432"	350
Wakulla County	Florida	"24,953"	"31,022"	736	42
Walton County	Florida	"89,443"	"59,807"	"1,240"	48
Washington County	Florida	"43,097"	"24,624"	616	40
Appling County	Georgia	"12,159"	"18,440"	512	36
Atkinson County	Georgia	"3,995"	"8,290"	345	24
Bacon County	Georgia	"6,243"	"11,216"	286	39
Baker County	Georgia	"16,205"	"3,341"	349	10
Baldwin County	Georgia	"21,314"	"46,039"	267	172
Banks County	Georgia	"9,612"	"18,415"	234	79
Barrow County	Georgia	"31,975"	"71,453"	163	439
Bartow County	Georgia	"43,758"	"101,273"	470	215
Ben Hill County	Georgia	"10,339"	"17,515"	254	69
Berrien County	Georgia	"11,308"	"19,048"	458	42
Bibb County	Georgia	"16,512"	"154,721"	255	606
Bleckley County	Georgia	"6,839"	"12,771"	219	58
Brantley County	Georgia	"12,786"	"18,292"	447	41
Brooks County	Georgia	"10,025"	"15,516"	498	31
Bryan County	Georgia	"17,378"	"33,157"	454	73
Bulloch County	Georgia	"30,374"	"71,214"	689	103
Burke County	Georgia	"16,556"	"22,923"	835	27
Butts County	Georgia	"12,693"	"23,361"	188	124
Calhoun County	Georgia	"3,370"	"6,523"	284	23
Camden County	Georgia	"31,051"	"51,476"	782	66
Candler County	Georgia	"6,709"	"10,937"	249	44
Carroll County	Georgia	"54,206"	"112,355"	504	223
Catoosa County	Georgia	"28,120"	"65,311"	162	402
Charlton County	Georgia	"7,366"	"13,255"	782	17
Chatham County	Georgia	"115,199"	"278,434"	632	440
Chattahoochee County	Georgia	"1,782"	"12,842"	251	51
Chattooga County	Georgia	"99,424"	"25,138"	314	80
Cherokee County	Georgia	"99,424"	"225,106"	434	518
Clarke County	Georgia	"42,001"	"121,265"	121	1002
Clay County	Georgia	"3,224"	"3,045"	217	14
Clayton County	Georgia	"89,152"	"264,220"	144	1831
Clinch County	Georgia	"4,254"	"6,795"	824	8
Cobb County	Georgia	"253,695"	"717,190"	345	2082
Coffee County	Georgia	"19,989"	"43,220"	603	72
Colquitt County	Georgia	"22,597"	"46,275"	557	83
Columbia County	Georgia	"61,392"	"135,416"	308	440
Cook County	Georgia	"10,201"	"17,066"	233	73
Coweta County	Georgia	"56,915"	"133,180"	446	299
Crawford County	Georgia	"7,823"	"12,504"	326	38
Crisp County	Georgia	"12,362"	"23,336"	281	83
Dade County	Georgia	"9,870"	"16,507"	174	95
Dawson County	Georgia	"14,909"	"22,686"	214	106
Decatur County	Georgia	"17,580"	"27,359"	623	44
