County	State	Total Comps	For Sale Comps (All)	Sold Comps (All)	Sold Comps (6m)	Sold Comps (3m)	Listed Comps (12m)	Listed Comps (6m)	Listed Comps (3m)	Sold-For Sale Ratio	Sold-Listed Ratio (12m)	Sold-Listed Ratio (6m)	Sold-Listed Ratio (3m)	Parcels on Market Ratio	Total DataTree Parcels	Total Out of State Owner Parcels	Total Out of County Owner Parcels	Out of State to Total Ratio	Out of County to Total Ratio	Coefficient of Variation	Coefficient of Variation (6m)	Coefficient of Variation (3m)	Days on Market	MoM Price Change %	Economic Rank	Economic Score	Population	Population Change (2010-2019)	Population Change %	Population-Sq Mile
Jackson County	Alabama	1079	739	340	119	49	302	183	88	0.46	1.13	0.65	0.56	0.042	17578	2401	5998	0.137	0.341	0.61	0.58	0.57	355.5	1.21	669	0.79	51626	-1558	-3	45.8
Jefferson County	Alabama	4681	2939	1742	850	539	1563	903	582	0.59	1.11	0.94	0.93	0.044	67401	8358	16046	0.124	0.238	0.75	0.7	0.7	325.3	0.9	808	0.59	658573	358	0.1	586
Lamar County	Alabama	229	201	28	2	0	10	9	4	0.14	2.8	0.22	0	0.019	10489	2040	4194	0.194	0.4	0.43	0.42	0.41	131.8	20.57	2046	-0.53	13805	-691	-5	22.8
Lauderdale County	Alabama	1625	1088	537	230	96	523	344	230	0.49	1.03	0.67	0.42	0.151	7215	788	1679	0.109	0.233	0.59	0.54	0.53	332.9	-1.56	729	0.7	92729	-8	0	129
Lawrence County	Alabama	449	293	156	61	30	145	102	50	0.53	1.08	0.6	0.6	0.026	11349	756	3126	0.067	0.275	0.55	0.49	0.49	313.7	3.68	1021	0.35	32924	-1418	-4.3	45.9
Lee County	Alabama	1973	1620	353	96	32	763	601	512	0.22	0.46	0.16	0.06	0.108	15039	2128	4516	0.141	0.3	0.77	0.71	0.71	111.2	8.27	1366	0.03	164542	23748	14.4	267.3
Limestone County	Alabama	1141	710	431	138	45	518	407	217	0.61	0.83	0.34	0.21	0.047	15112	1463	3890	0.097	0.257	0.48	0.46	0.46	163.3	-1.09	1385	0.02	98915	15734	15.9	162.9
Lowndes County	Alabama	347	297	50	2	2	18	17	5	0.17	2.78	0.12	0.4	0.041	7188	1314	4136	0.183	0.575	0.45	0.42	0.42	211.2	0.38	2276	-0.78	9726	-1563	-16.1	13.4
Macon County	Alabama	411	280	131	23	11	57	47	23	0.47	2.3	0.49	0.48	0.027	10216	2623	5819	0.257	0.57	0.52	0.45	0.46	95.1	-1.68	2184	-0.67	18068	-3437	-19	29.5
Madison County	Alabama	2125	1362	763	254	136	872	550	351	0.56	0.88	0.46	0.39	0.046	29386	2128	3862	0.072	0.131	0.57	0.54	0.48	285.1	-0.27	1631	-0.17	372909	36814	9.9	458.8
Marengo County	Alabama	292	187	105	4	3	14	13	8	0.56	7.5	0.31	0.38	0.014	13131	2322	6264	0.177	0.477	0.4	0.34	0.34	194.7	-2.4	1902	-0.41	18863	-2093	-11.1	19.2
Marion County	Alabama	486	409	77	24	14	110	81	55	0.19	0.7	0.3	0.25	0.033	12296	1826	4763	0.149	0.387	0.77	0.76	0.75	124.7	-7.29	1621	-0.17	29709	-1107	-3.7	40
Marshall County	Alabama	1964	1172	792	388	289	745	538	322	0.68	1.06	0.72	0.9	0.063	18500	1095	4351	0.059	0.235	0.75	0.75	0.75	277.4	-1.78	1088	0.29	96774	3652	3.8	155.3
Mobile County	Alabama	4345	3617	728	238	103	1487	902	564	0.2	0.49	0.26	0.18	0.079	45855	6054	10053	0.132	0.219	0.8	0.77	0.77	223.8	1.72	610	0.9	413210	-105	0	251.3
Monroe County	Alabama	422	326	96	5	0	33	24	11	0.29	2.91	0.21	0	0.025	12949	2776	6075	0.214	0.469	0.35	0.33	0.33	905.4	5.14	989	0.38	20733	-2272	-11	20
Montgomery County	Alabama	1737	1292	445	134	38	555	483	158	0.34	0.8	0.28	0.24	0.077	16885	1797	3854	0.106	0.228	0.95	0.87	0.87	342.5	3.02	1490	-0.07	226486	-3019	-1.3	283.2
Morgan County	Alabama	1054	617	437	137	64	331	193	121	0.71	1.32	0.71	0.53	0.039	15714	880	3188	0.056	0.203	0.51	0.47	0.47	372.5	1.17	633	0.86	119679	71	0.1	199.8
Perry County	Alabama	269	191	78	9	4	11	6	1	0.41	7.09	1.5	4	0.031	6258	1307	4052	0.209	0.647	0.42	0.38	0.37	196.7	-2.7	1584	-0.14	8923	-1640	-18.4	12.3
Pickens County	Alabama	179	146	33	11	8	40	28	22	0.23	0.82	0.39	0.36	0.012	12147	2056	4809	0.169	0.396	0.65	0.58	0.59	128.7	4.68	1545	-0.11	19930	181	0.9	22.4
Pike County	Alabama	926	733	193	18	8	142	112	68	0.26	1.36	0.16	0.12	0.069	10635	2251	4181	0.212	0.393	0.81	0.78	0.78	265.3	5.15	2083	-0.57	33114	144	0.4	49.3
Randolph County	Alabama	2032	1539	493	158	76	420	228	159	0.32	1.17	0.69	0.48	0.131	11760	2877	4647	0.245	0.395	0.8	0.76	0.75	373.4	-0.97	931	0.45	22722	-215	-0.9	38.9
Russell County	Alabama	568	451	117	68	24	195	108	47	0.26	0.6	0.63	0.51	0.038	11910	2880	4864	0.242	0.408	0.46	0.44	0.44	245.6	12.83	1582	-0.14	57961	4640	8	89.5
Shelby County	Alabama	3158	2362	796	320	180	953	586	371	0.34	0.84	0.55	0.49	0.151	15597	1103	5274	0.071	0.338	0.84	0.83	0.82	364.2	-0.69	420	1.34	217702	21670	10	268.9
St. Clair County	Alabama	1845	1315	530	169	91	438	271	189	0.4	1.21	0.62	0.48	0.071	18473	2076	6864	0.112	0.372	0.79	0.79	0.79	397.2	1.61	544	1.05	89512	5941	6.6	137
Sumter County	Alabama	148	117	31	2	2	8	7	5	0.26	3.88	0.29	0.4	0.013	8718	1995	4575	0.229	0.525	0.32	0.27	0.27	123	-8	2143	-0.63	12427	-1303	-10.5	13.6
Talladega County	Alabama	1826	1453	373	113	59	612	376	271	0.26	0.61	0.3	0.22	0.103	14166	1912	5291	0.135	0.373	0.88	0.84	0.84	276.8	0.97	722	0.71	79978	-2194	-2.7	105.2
Tallapoosa County	Alabama	984	828	156	23	13	253	159	91	0.19	0.62	0.14	0.14	0.05	16422	1914	7271	0.117	0.443	0.64	0.61	0.6	207.5	0.55	428	1.32	40367	-1109	-2.7	52.7
Tuscaloosa County	Alabama	2262	1341	921	348	223	968	616	426	0.69	0.95	0.56	0.52	0.037	36531	3283	8144	0.09	0.223	0.8	0.77	0.77	207.9	1.64	993	0.38	209355	14359	6.9	154.9
Walker County	Alabama	1362	1032	330	153	68	389	282	195	0.32	0.85	0.54	0.35	0.039	26600	2324	7468	0.087	0.281	0.79	0.72	0.71	296.1	0.67	1059	0.32	63521	-3476	-5.5	78.9
Washington County	Alabama	149	126	23	3	1	13	11	7	0.18	1.77	0.27	0.14	0.008	15135	2027	5920	0.134	0.391	0.46	0.42	0.42	281	35.9	1871	-0.38	16326	-1300	-8	15
Wilcox County	Alabama	454	390	64	5	4	74	51	30	0.16	0.86	0.1	0.13	0.04	9744	2263	5586	0.232	0.573	0.42	0.41	0.41	312.2	-1.44	1235	0.14	10373	-1187	-11.4	11.4
Winston County	Alabama	1791	1510	281	102	43	727	511	399	0.19	0.39	0.2	0.11	0.119	12738	1984	6468	0.156	0.508	0.66	0.63	0.63	137.2	15.55	871	0.52	23629	-783	-3.3	37.4
Aleutians East Borough	Alaska	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1557	-0.12	3337	171	5.1	0.2
Aleutians West Borough	Alaska	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01					0	0	0	0
Bethel Borough	Alaska	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0
Bristol Bay Borough	Alaska	9	9	0	0	0	0	0	0	0	0	0	0	0.01	929	148	309	0.159	0.333	0.03	0.03	0.03		0	1297	0.09	836	-166	-19.9	0.9
Denali Borough	Alaska	98	98	0	0	0	39	20	0	0	0	0	0	0	0	0	0	0	0	0.16	0.16	0.16	274.8	-10.44	1305	0.08	2097	262	12.5	0.2
Dillingham Borough	Alaska	22	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15		9.93			0	0	0	0
Fairbanks North Star Borough	Alaska	2456	2441	15	1	0	428	179	124	0.01	0.04	0.01	0	0.229	10651	1315	1972	0.123	0.185	0.55	0.55	0.55	286	1.26	1323	0.07	96849	-1415	-1.5	13
Haines Borough	Alaska	40	40	0	0	0	25	11	7	0	0	0	0	0.033	1203	322	598	0.268	0.497	0.04	0.04	0.04	338.6	-2.47	1418	-0.01	2530	29	1.1	0.9
Juneau	Alaska	12	12	0	0	0	4	3	3	0	0	0	0	0.007	1682	129	215	0.077	0.128	0.07	0.07	0.07	115.8	0	1259	0.12	0	0	0	0
Kenai Peninsula Borough	Alaska	3039	2708	331	110	36	1134	491	354	0.12	0.29	0.22	0.1	0.094	28846	5901	15085	0.205	0.523	0.63	0.62	0.63	279.5	-2.37	1328	0.07	58708	3154	5.4	2.4
Ketchikan Gateway Borough	Alaska	114	114	0	0	0	91	66	56	0	0	0	0	0.042	2734	422	809	0.154	0.296	0.07	0.07	0.07	225.9	3.98	1678	-0.21	13901	328	2.4	7.9
Kodiak Island Borough	Alaska	183	180	3	0	0	81	55	30	0.02	0.04	0	0	0.068	2633	262	1200	0.1	0.456	0.1	0.1	0.1	235.7	-15.28	2346	-0.86	12998	-648	-5	1.1
Lake and Peninsula	Alaska	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25		-0.71	1401	0	0	0	0	0
Matanuska-Susitna Borough	Alaska	3260	3093	167	62	25	1114	722	477	0.05	0.15	0.09	0.05	17.574	176	8	44	0.045	0.25	1.02	1.01	1.01	213.6	2.95	1194	0.18	108317	18585	17.2	4.3
Nome Borough	Alaska	1	1	0	0	0	0	0	0	0	0	0	0	0.001	1170	24	168	0.021	0.144	0	0	0					0	0	0	0
North Slope Borough	Alaska	2	2	0	0	0	0	0	0	0	0	0	0	0.001	2758	0	0	0	0	0.02	0.02	0.02			1700	-0.23	9832	354	3.6	0.1
Northwest Arctic Borough	Alaska	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01			1402	0	7621	61	0.8	0.2
Prince of Wales-Outer Ketchikan	Alaska	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0
Skagway-Hoonah-Angoon	Alaska	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0
Wade Hampton	Alaska	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0
Wrangell-Petersburg	Alaska	0	0	0	0	0	0	0	0	0	0	0	0	0.2	5	0	1	0	0.2	0	0	0					0	0	0	0
Yakutat	Alaska	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1666	-0.2	0	0	0	0
Apache County	Arizona	5009	3595	1414	325	98	1404	826	429	0.39	1.01	0.39	0.23	0.078	46384	22655	40643	0.488	0.876	1.31	1.21	1.22	214.3	-2.72	580	0.98	71887	58	0.1	6.4
Cochise County	Arizona	6679	4787	1892	645	360	1953	1257	715	0.4	0.97	0.51	0.5	0.071	67757	33311	49401	0.492	0.729	1.32	1.32	1.29	248.2	2.32	43	4.13	125922	-5900	-4.7	20.2
Coconino County	Arizona	4399	2605	1794	609	255	1273	701	386	0.69	1.41	0.87	0.66	0.077	33930	9686	23976	0.285	0.707	1.5	1.44	1.44	153.9	-3.81	161	2.67	143476	8864	6.2	7.7
Gila County	Arizona	915	646	269	96	40	406	249	144	0.42	0.66	0.39	0.28	0.082	7894	732	4044	0.093	0.512	0.34	0.32	0.32	225.7	-1.3	38	4.19	54018	457	0.8	11.3
Graham County	Arizona	536	377	159	34	10	214	57	24	0.42	0.74	0.6	0.42	0.063	6023	625	1967	0.104	0.327	0.64	0.57	0.57	239.6	3.92	149	2.76	38837	1685	4.3	8.4
Greenlee County	Arizona	59	27	32	22	15	16	8	4	1.19	2	2.75	3.75	0.014	1888	331	889	0.175	0.471	0.17	0.16	0.13	199.1	-13.19	130	2.88	9498	1159	12.2	5.1
La Paz County	Arizona	814	601	213	111	75	274	178	114	0.35	0.78	0.62	0.66	0.091	6586	2484	4514	0.377	0.685	1.17	1.15	1.15	180.7	19.56	220	2.23	21108	611	2.9	4.7
Maricopa County	Arizona	12569	8506	4063	1515	858	6500	3709	2120	0.48	0.63	0.41	0.4	0.038	226534	30884	34537	0.136	0.152	1.51	1.46	1.45	214.9	-5.77	121	2.96	4485414	660304	14.7	486.3
Mohave County	Arizona	15734	10327	5407	2106	1120	6021	2844	1535	0.52	0.9	0.74	0.73	0.075	138374	87944	103579	0.636	0.749	2.07	2.03	2.02	208.9	-0.82	105	3.14	212181	11867	5.6	15.8
Navajo County	Arizona	5635	3708	1927	667	284	1844	1062	614	0.52	1.05	0.63	0.46	0.089	41550	15923	32590	0.383	0.784	1.41	1.37	1.36	180.5	-0.57	913	0.47	110924	3227	2.9	11.1
Pima County	Arizona	4599	2705	1894	769	403	1752	1046	653	0.7	1.08	0.74	0.62	0.055	49372	6624	11717	0.134	0.237	0.77	0.75	0.75	224.6	-3.55	207	2.33	1047279	65659	6.3	114
Pinal County	Arizona	9104	5439	3665	1629	876	4306	2441	1443	0.67	0.85	0.67	0.61	0.075	72081	18593	57350	0.258	0.796	1.08	1.04	1.03	187.8	-7.54	328	1.72	462789	83695	18.1	86.1
Santa Cruz County	Arizona	3252	1963	1289	544	261	1260	743	415	0.66	1.02	0.73	0.63	0.08	24398	9444	15592	0.387	0.639	0.46	0.45	0.44	267.2	-0.5	144	2.79	46498	-917	-2	37.6
Yavapai County	Arizona	11332	8226	3106	1177	519	3638	1863	1073	0.38	0.85	0.63	0.48	0.17	48500	11347	29489	0.234	0.608	1.61	1.56	1.56	253.8	-0.88	108	3.11	235099	24116	10.3	28.9
Yuma County	Arizona	938	422	516	294	103	331	259	151	1.22	1.56	1.14	0.68	0.02	20711	4541	9555	0.219	0.461	0.95	0.88	0.82	121.5	-6.63	435	1.31	213787	16660	7.8	38.7
Arkansas County	Arkansas	231	176	55	9	4	17	14	10	0.31	3.24	0.64	0.4	0.031	5726	691	1855	0.121	0.324	0.46	0.42	0.41	559.7	-1.02	1970	-0.46	17486	-1523	-8.7	16.9
Arkansas County	Arkansas	231	176	55	9	4	17	14	10	0.31	3.24	0.64	0.4	0.031	5726	691	1855	0.121	0.324	0.46	0.42	0.41	559.7	-1.02	1970	-0.46	17486	-1523	-8.7	16.9
Ashley County	Arkansas	348	287	61	8	4	33	28	8	0.21	1.85	0.29	0.5	0.031	9181	1816	2914	0.198	0.317	0.35	0.33	0.33	233	-21.86	2572	-1.13	19657	-2172	-11	20.9
Ashley County	Arkansas	348	287	61	8	4	33	28	8	0.21	1.85	0.29	0.5	0.031	9181	1816	2914	0.198	0.317	0.35	0.33	0.33	233	-21.86	2572	-1.13	19657	-2172	-11	20.9
Baxter County	Arkansas	1660	1144	516	111	50	305	209	140	0.45	1.69	0.53	0.36	0.099	11503	3651	5526	0.317	0.48	0.7	0.68	0.68	170.6	-2.56	364	1.53	41932	422	1	71.5
Baxter County	Arkansas	1660	1144	516	111	50	305	209	140	0.45	1.69	0.53	0.36	0.099	11503	3651	5526	0.317	0.48	0.7	0.68	0.68	170.6	-2.56	364	1.53	41932	422	1	71.5
Benton County	Arkansas	9243	6058	3185	1410	575	3193	2038	1258	0.53	1	0.69	0.46	0.11	54947	14232	20964	0.259	0.382	1.09	1.07	1.07	155.7	0.76	330	1.7	279141	56548	20.3	317.1
Benton County	Arkansas	9243	6058	3185	1410	575	3193	2038	1258	0.53	1	0.69	0.46	0.11	54947	14232	20964	0.259	0.382	1.09	1.07	1.07	155.7	0.76	330	1.7	279141	56548	20.3	317.1
Boone County	Arkansas	1337	1184	153	24	14	415	256	139	0.13	0.37	0.09	0.1	0.105	11280	3135	4102	0.278	0.364	0.9	0.66	0.66	266.2	4.96	468	1.22	37432	539	1.4	62.2
Boone County	Arkansas	1337	1184	153	24	14	415	256	139	0.13	0.37	0.09	0.1	0.105	11280	3135	4102	0.278	0.364	0.9	0.66	0.66	266.2	4.96	468	1.22	37432	539	1.4	62.2
Bradley County	Arkansas	169	98	71	14	6	25	18	10	0.72	2.84	0.78	0.6	0.016	6092	1652	3666	0.271	0.602	0.39	0.33	0.3	160.5	11.32	2350	-0.87	10763	-707	-6.6	16.4
Bradley County	Arkansas	169	98	71	14	6	25	18	10	0.72	2.84	0.78	0.6	0.016	6092	1652	3666	0.271	0.602	0.39	0.33	0.3	160.5	11.32	2350	-0.87	10763	-707	-6.6	16.4
Calhoun County	Arkansas	104	62	42	5	3	5	4	2	0.68	8.4	1.25	1.5	0.008	7710	1810	5808	0.235	0.753	0.26	0.2	0.2	114	19.38	2458	-1	5189	-173	-3.3	8.2
Calhoun County	Arkansas	104	62	42	5	3	5	4	2	0.68	8.4	1.25	1.5	0.008	7710	1810	5808	0.235	0.753	0.26	0.2	0.2	114	19.38	2458	-1	5189	-173	-3.3	8.2
Carroll County	Arkansas	2845	2143	702	236	85	818	443	310	0.33	0.86	0.53	0.27	0.194	11061	3756	5326	0.34	0.482	0.84	0.82	0.82	270.7	0.13	582	0.97	28380	827	2.9	44.4
Carroll County	Arkansas	2845	2143	702	236	85	818	443	310	0.33	0.86	0.53	0.27	0.194	11061	3756	5326	0.34	0.482	0.84	0.82	0.82	270.7	0.13	582	0.97	28380	827	2.9	44.4
Chicot County	Arkansas	216	158	58	11	3	55	53	19	0.37	1.05	0.21	0.16	0.024	6521	2173	3235	0.333	0.496	0.55	0.52	0.55	122.2	22.76	2475	-1.02	10118	-1681	-16.6	14.6
Chicot County	Arkansas	216	158	58	11	3	55	53	19	0.37	1.05	0.21	0.16	0.024	6521	2173	3235	0.333	0.496	0.55	0.52	0.55	122.2	22.76	2475	-1.02	10118	-1681	-16.6	14.6
Clark County	Arkansas	442	347	95	23	9	104	80	65	0.27	0.91	0.29	0.14	0.032	10891	2228	5123	0.205	0.47	0.43	0.37	0.37	134	31.82	1036	0.34	22320	-605	-2.7	25.3
Clark County	Arkansas	442	347	95	23	9	104	80	65	0.27	0.91	0.29	0.14	0.032	10891	2228	5123	0.205	0.47	0.43	0.37	0.37	134	31.82	1036	0.34	22320	-605	-2.7	25.3
Clay County	Arkansas	203	153	50	9	5	35	22	17	0.33	1.43	0.41	0.29	0.022	7076	1235	2458	0.175	0.347	0.52	0.5	0.5	287.2	-3.73	2858	-1.58	14551	-1499	-10.3	22.7
Clay County	Arkansas	203	153	50	9	5	35	22	17	0.33	1.43	0.41	0.29	0.022	7076	1235	2458	0.175	0.347	0.52	0.5	0.5	287.2	-3.73	2858	-1.58	14551	-1499	-10.3	22.7
Cleburne County	Arkansas	1981	1515	466	140	54	436	220	140	0.31	1.07	0.64	0.39	0.191	7928	1238	3732	0.156	0.471	0.6	0.59	0.58	287.8	1.88	444	1.27	24919	-1067	-4.3	42.1
Cleburne County	Arkansas	1981	1515	466	140	54	436	220	140	0.31	1.07	0.64	0.39	0.191	7928	1238	3732	0.156	0.471	0.6	0.59	0.58	287.8	1.88	444	1.27	24919	-1067	-4.3	42.1
Cleveland County	Arkansas	152	111	41	9	2	24	19	9	0.37	1.71	0.47	0.22	0.015	7181	1421	4271	0.198	0.595	0.23	0.22	0.22	128.6	13.87	2511	-1.05	7956	-721	-9.1	13.3
